ad_id,tiktok_item_id,identity_id,operation_status,ad_name,adgroup_name,adgroup_id,campaign_id,campaign_name,spend_90d
1846620610999569,7495200671004773662,7412798313383576607,ENABLE,"write with me 🥰  What are you reading this weekend? As always, my chair is from @Wayfair and 🔗 in my bio & showcase along with everything else 🥰 #booktok #indieauthorsoftiktok #indieauthor #booktokerfyp #booktokers #bookbesties #authorfriends #writingabook #debutnovel",Spark_Chaise_Broad,1845522335696993,1845522176114754,Evergreen VSA Broad Web,2627.05
1867641573228849,7646025820355562782,6829855337265251334,ENABLE,Putting the first tiny little sweater in the closet 🥹 she will definitely be well dressed thanks to her grandmas!  #pregnanttiktok #nursery #girlnursery #nurserycloset #closetorganization _search_wroughtstudio_jeremyiah_closet_broad,Spark_BedroomFurniture_Broad_2,1851727743997009,1845522176114754,Evergreen VSA Broad Web,2588.29
1865898427568674,7640870296542661901,6807857489531995142,ENABLE,making progress in the entryway! just waiting for the blue couch to get here to see it all complete 😍#movingvlog #houseupdates #wayfair @Wayfair,Spark_Multiproduct_Broad,1845523454047266,1845522176114754,Evergreen VSA Broad Web,2568.54
1868267734248497,7648821175920905502,6805678114620032005,ENABLE,"I still walk by and stop to admire the transformation. Small changes = big difference! Vanity is from Wayfair, link is in bio!  #Wayfair #WayfairCreator #HotSummerSale @Wayfair _wcp_julianariordan_bathrefresh_broad",Spark_Bathroom_Broad,1845522878358657,1845522176114754,Evergreen VSA Broad Web,2566.64
1865896756199617,7640388060743617805,6807857489531995142,ENABLE,how cute is my new mirror from @Wayfair 😍⭐️ everyone’s most loved piece is here and in action #wayfair #homefinds #movingvlogs #homemakeover,Spark_Mirrors_Broad_2,1851727743997025,1845522176114754,Evergreen VSA Broad Web,2520.45
1871342448682178,7615964862702718239,7554831408167568439,ENABLE,The Scarlet dresser + nightstands from @Wayfair are some of my most asked-about pieces 🤎 Beautiful warm wood tones and such a timeless bedroom set. Linked in my LTK & Linktree. #WayfairHome #BedroomFinds #NeutralHome #LTKHome #wayfairfinds _search_charltonhome_scarlett_collection_dresser_broad_LF,Spark_Dresser_Broad_LF,1871339919032417,1871338571302274,Evergreen VSA Broad Web LF,2495.29
1871340162692178,7618649699267972383,7072754638017954862,ENABLE,"Can’t over this dresser in my girls room from @Wayfair, the prettiest wood tone 😍 Checkout my wayfair storefront in my bio for link  #wayfair #wayfaircreator #wayfairelevate #ad _wcp_elevate_walkeredison_vivienne_dresser_broad_LF",Spark_Dresser_Broad_LF,1871339919032417,1871338571302274,Evergreen VSA Broad Web LF,2477.87
1871342385520689,7276488421688741166,6809654422332294149,ENABLE,Unbox my new couch with me! ✨ #wayfair #wayfaircouch #whitecouch #livingroomdecor #couch #foryou #fyp #viral _search_latituderun_nyerere_sofa_broad_LF,Spark_Couches_Broad_2_LF,1871339910950129,1871338571302274,Evergreen VSA Broad Web LF,2476.36
1871342551743729,7607591287981706509,6732114765684229125,ENABLE,can’t wait to style her🤭 #wayfair #wayfairfinds #homedecor #affordablefurniture _search_millwoodpines_dorne_sideboard_broad_LF,Spark_Sideboard_Broad_LF,1871339943478289,1871338571302274,Evergreen VSA Broad Web LF,2458.53
1866464724271122,7640388060743617805,6807857489531995142,ENABLE,how cute is my new mirror from @Wayfair 😍⭐️ everyone’s most loved piece is here and in action #wayfair #homefinds #movingvlogs #homemakeover,Spark_Mirrors_Broad_2,1851727743997025,1845522176114754,Evergreen VSA Broad Web,2451.79
1871342171231426,7659817001283570957,7026503843648668677,ENABLE,#WayfairPartner Creating a space that feels more like me with @Wayfair _clp_tulio_sasaya_bts_vsa_LF,GTM_Parents_BTS_VSA_LF,1871338595218818,1871338571302274,Evergreen VSA Broad Web LF,2428.73
1871450426817586,7608393351506742558,6718184671207392262,ENABLE,This is one of my favorite pieces of furniture in our home! @Wayfair 💗 #wayfair #wayfaircreator #scarletttvstand #wayfairfinds #interiordecor _search_homebyharkins_tv_console_broad_FF,Spark_TVConsoles_Broad_FF,1871339803012241,1871339683323985,Evergreen VSA Broad Web FF,2396.01
1871342310630465,7614602403249261838,6762318091773051910,ENABLE,Girl to girl… GET THE COUCH. #wayfair #wayfaircouch #cloudcouch #girl #homedecor @Wayfair _search_latituderun_u_shape_cloudcouch_broad_LF,Spark_Couches_Broad_LF,1871339896643714,1871338571302274,Evergreen VSA Broad Web LF,2358.08
1871450429100098,7608393351506742558,6718184671207392262,ENABLE,This is one of my favorite pieces of furniture in our home! @Wayfair 💗 #wayfair #wayfaircreator #scarletttvstand #wayfairfinds #interiordecor _search_homebyharkins_tv_console_broad_LF,Spark_TVConsoles_Broad_LF,1871339958000690,1871338571302274,Evergreen VSA Broad Web LF,2340.34
1872602860994609,,0a34612d-83c6-5f16-9f78-052185dd1bec,ENABLE,7347881516757731080_catalog_carousel_evergreen_elijahbanks_shoestorage_FF,Spark_ShoeStorage_Broad_FF,1871339784944641,1871339683323985,Evergreen VSA Broad Web FF,2338.46
1863838665218114,7630825190880054558,2174481,ENABLE,I might have a bit of an obsession with rugs! They can completely transform a space 😍 @Wayfair #home #wayfair #wayfairfinds #livingroomdecor #livingroom,Spark_Rugs_Broad,1845523570298946,1845522176114754,Evergreen VSA Broad Web,2313.63
1867642337281346,7649819086096059662,6815834685626975237,ENABLE,All my daughter wanted to do was pull out the stuffed animals! 🤣 It holds so many!  #ad #Wayfair #WayfairCreator @Wayfair  Link:  https://creatorlink.shop/4okx8SY_wcp_latituderun_kids_toy_organizer_bookshelf_broad,Spark_Bookshelves_Broad,1845522455733249,1845522176114754,Evergreen VSA Broad Web,2289.02
1871342551743681,7629131753675885838,6716705114620838917,ENABLE,think I want to change out the handles but obsessed with the color and how much storage it has!! @Wayfair #wayfairfinds #apartmentdecor _search_millwoodpines_dorne_sideboard_broad_LF,Spark_Sideboard_Broad_LF,1871339943478289,1871338571302274,Evergreen VSA Broad Web LF,2288.51
1862476981710882,7618350078809427230,7400061734067094570,ENABLE,"#gifted_by_wayfair  This Metal Desk Lamp by Mercer41 adds a modern and elegant touch to my space. I love the minimal design with the gold finish — it looks so aesthetic and elevated. The light is soft and warm, creating a cozy and calming atmosphere, perfect for slow mornings and relaxing evenings. It’s not just lighting, it’s a decor piece that completes the whole vibe 🤍 @Wayfair  #wayfair #wayfairfinds #homedecor #interiorstyle",Spark_lighting_Broad_2,1851727732828481,1845522176114754,Evergreen VSA Broad Web,2284.87
1868912832435570,7636442697091370271,6801679552370082822,ENABLE,as a working from home girlie I’m so excited to decorate my office & this @Wayfair desk is the perfect first find 😍✨ it’s 🔗 on my LTK!! #wayfairfinds #athomeoffice #officedesk #homedecor #fyp _search_ebern_jasine_desk_broad,Spark_Desks_Broad,1845522726365202,1845522176114754,Evergreen VSA Broad Web,2263.97
1868976134376577,7652333027732802829,6570610400974094342,ENABLE,"Things I wish I had added sooner… These wireless wall sconces. They gave our bedroom a more finished look, added extra lighting without any wiring, and have become one of those upgrades we use every single day. Definitely one of my favorite home finds. 💙 Team overhead lights or cozy lamps? #WayfairCreator #WayfairElevate #WayfairVerified #Wayfair #Ad @Wayfair _wcp_elevate_wadelogan_battery_wallsconce_broad",Spark_Lighting_Broad,1845523271349393,1845522176114754,Evergreen VSA Broad Web,2246.24
